year,asset_category,annual_return_pct,volatility_pct
2015,Equity,-2.1,22.4
2015,Debt,6.2,4.2
2015,Gold,-3.5,9.8
2015,Real_Estate,5.8,7.2
2015,Cash,5.1,0.8
2016,Equity,8.4,18.6
2016,Debt,8.1,3.8
2016,Gold,10.2,14.2
2016,Real_Estate,4.2,6.4
2016,Cash,5.4,1.2
2017,Equity,24.6,16.2
2017,Debt,5.4,5.1
2017,Gold,5.1,8.6
2017,Real_Estate,7.5,8.9
2017,Cash,4.9,0.6
2018,Equity,-4.8,24.8
2018,Debt,6.1,6.4
2018,Gold,6.8,10.4
2018,Real_Estate,6.1,7.6
2018,Cash,5.6,1.5
2019,Equity,13.2,19.5
2019,Debt,9.3,3.5
2019,Gold,18.4,16.7
2019,Real_Estate,5.8,6.8
2019,Cash,5.2,0.9
2020,Equity,16.9,29.7
2020,Debt,8.7,7.8
2020,Gold,21.6,17.9
2020,Real_Estate,1.2,11.5
2020,Cash,3.8,1.8
2021,Equity,27.3,21.3
2021,Debt,3.9,4.6
2021,Gold,-2.8,11.3
2021,Real_Estate,9.8,9.3
2021,Cash,3.5,1.1
2022,Equity,3.1,26.5
2022,Debt,4.2,6.9
2022,Gold,7.9,13.5
2022,Real_Estate,11.4,8.1
2022,Cash,5.9,1.9
2023,Equity,18.5,17.8
2023,Debt,7.6,5.3
2023,Gold,12.3,9.2
2023,Real_Estate,10.6,6.9
2023,Cash,6.8,0.7
2024,Equity,14.7,20.1
2024,Debt,8.0,4.1
2024,Gold,10.1,12.8
2024,Real_Estate,12.9,7.8
2024,Cash,6.4,1.3
